概念コード,計算書,親科目コード,収支区分,正規名
LC-00094,CF,CF-B-EXP-030,支出,器具及び備品取得支出
LC-00095,CF,CF-B-EXP-030,支出,構築物取得支出
LC-00096,CF,CF-B-EXP-030,支出,ソフトウェア取得支出
LC-00097,CF,CF-B-EXP-030,支出,建物付属設備取得支出
LC-00098,CF,CF-B-EXP-030,支出,その他の固定資産取得支出
LC-00099,CF,CF-B-EXP-060,支出,その他の施設整備等による支出
LC-00100,CF,CF-C-INC-040,収入,退職給付引当資産取崩収入
LC-00101,CF,CF-C-INC-040,収入,移行時積立資産取崩収入
LC-00102,CF,CF-C-INC-040,収入,修繕積立資産取崩収入
LC-00103,CF,CF-C-INC-040,収入,就労設備積立資産取崩収入
LC-00104,CF,CF-C-INC-040,収入,車輛購入積立資産取崩収入
LC-00105,CF,CF-C-INC-040,収入,工賃変動積立資産取崩収入
LC-00106,CF,CF-C-INC-040,収入,備品積立資産取崩収入
LC-00107,CF,CF-C-INC-040,収入,施設整備積立資産取崩収入
LC-00108,CF,CF-C-EXP-030,支出,退職給付引当資産支出
LC-00109,CF,CF-C-EXP-030,支出,修繕積立資産支出
LC-00110,CF,CF-C-EXP-030,支出,施設整備積立資産支出
LC-00111,CF,CF-C-EXP-030,支出,車輛購入積立資産支出
LC-00112,CF,CF-C-EXP-030,支出,備品積立資産支出
LC-00113,CF,CF-C-EXP-030,支出,就労設備等積立資産支出
LC-00114,CF,CF-C-EXP-030,支出,工賃変動積立資産支出
LC-00079,,L-8080105000129-0078,支出,就労支援事業製造原価支出
LC-00080,,L-8080105000129-0078,支出,就労支援事業仕入支出
