タイプ,col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10
kyoten4,instance,L-8080105000129-0094,退職給付引当金戻入益,退職給付引当金戻入益,LC-00094,収益,PL,8080105000129,PL-2-4,0,退職給付引当金戻入益
kyoten4,concept,LC-00095,賞与引当金戻入益,賞与引当金戻入益,PL-T-REV-050,収益,PL,8080105000129,PL-2-4,0,賞与引当金戻入益
kyoten4,instance,L-8080105000129-0095,賞与引当金戻入益,賞与引当金戻入益,LC-00095,収益,PL,8080105000129,PL-2-4,0,賞与引当金戻入益
kyoten4,concept,LC-00096,その他の特別収益,その他の特別収益,PL-T-REV-050,収益,PL,8080105000129,PL-2-4,0,その他の特別収益
kyoten4,instance,L-8080105000129-0096,その他の特別収益,その他の特別収益,LC-00096,収益,PL,8080105000129,PL-2-4,0,その他の特別収益
kyoten4,concept,LC-00097,貸倒引当金戻入益,貸倒引当金戻入益,PL-T-REV-050,収益,PL,8080105000129,PL-2-4,0,貸倒引当金戻入益
kyoten4,instance,L-8080105000129-0097,貸倒引当金戻入益,貸倒引当金戻入益,LC-00097,収益,PL,8080105000129,PL-2-4,0,貸倒引当金戻入益
kyoten4,concept,LC-00098,建物売却損・処分損,建物売却損処分損,PL-T-EXP-010,費用,PL,8080105000129,PL-2-4,0,建物売却損・処分損
kyoten4,instance,L-8080105000129-0098,建物売却損・処分損,建物売却損処分損,LC-00098,費用,PL,8080105000129,PL-2-4,0,建物売却損・処分損
kyoten4,concept,LC-00099,車輌運搬具売却損・処分損,車輌運搬具売却損処分損,PL-T-EXP-010,費用,PL,8080105000129,PL-2-4,0,車輌運搬具売却損・処分損
kyoten4,instance,L-8080105000129-0099,車輌運搬具売却損・処分損,車輌運搬具売却損処分損,LC-00099,費用,PL,8080105000129,PL-2-4,0,車輌運搬具売却損・処分損
kyoten4,concept,LC-00100,器具及び備品売却損・処分損,器具及び備品売却損処分損,PL-T-EXP-010,費用,PL,8080105000129,PL-2-4,0,器具及び備品売却損・処分損
kyoten4,instance,L-8080105000129-0100,器具及び備品売却損・処分損,器具及び備品売却損処分損,LC-00100,費用,PL,8080105000129,PL-2-4,0,器具及び備品売却損・処分損
kyoten4,concept,LC-00101,その他の固定資産売却損・処分損,その他の固定資産売却損処分損,PL-T-EXP-010,費用,PL,8080105000129,PL-2-4,0,その他の固定資産売却損・処分損
kyoten4,instance,L-8080105000129-0101,その他の固定資産売却損・処分損,その他の固定資産売却損処分損,LC-00101,費用,PL,8080105000129,PL-2-4,0,その他の固定資産売却損・処分損
kyoten4,concept,LC-00102,移行時特別積立金取崩額,移行時特別積立金取崩額,PL-K-AT,差額,PL,8080105000129,PL-2-4,0,移行時特別積立金取崩額
kyoten4,instance,L-8080105000129-0102,移行時特別積立金取崩額,移行時特別積立金取崩額,LC-00102,差額,PL,8080105000129,PL-2-4,0,移行時特別積立金取崩額
kyoten4,concept,LC-00103,修繕積立金取崩額,修繕積立金取崩額,PL-K-AT,差額,PL,8080105000129,PL-2-4,0,修繕積立金取崩額
kyoten4,instance,L-8080105000129-0103,修繕積立金取崩額,修繕積立金取崩額,LC-00103,差額,PL,8080105000129,PL-2-4,0,修繕積立金取崩額
kyoten4,concept,LC-00104,就労設備等積立金取崩額,就労設備等積立金取崩額,PL-K-AT,差額,PL,8080105000129,PL-2-4,0,就労設備等積立金取崩額
kyoten4,instance,L-8080105000129-0104,就労設備等積立金取崩額,就労設備等積立金取崩額,LC-00104,差額,PL,8080105000129,PL-2-4,0,就労設備等積立金取崩額
kyoten4,concept,LC-00105,車輛購入積立金取崩額,車輛購入積立金取崩額,PL-K-AT,差額,PL,8080105000129,PL-2-4,0,車輛購入積立金取崩額
kyoten4,instance,L-8080105000129-0105,車輛購入積立金取崩額,車輛購入積立金取崩額,LC-00105,差額,PL,8080105000129,PL-2-4,0,車輛購入積立金取崩額
kyoten4,concept,LC-00106,工賃変動積立金取崩額,工賃変動積立金取崩額,PL-K-AT,差額,PL,8080105000129,PL-2-4,0,工賃変動積立金取崩額
kyoten4,instance,L-8080105000129-0106,工賃変動積立金取崩額,工賃変動積立金取崩額,LC-00106,差額,PL,8080105000129,PL-2-4,0,工賃変動積立金取崩額
kyoten4,concept,LC-00107,備品積立金取崩額,備品積立金取崩額,PL-K-AT,差額,PL,8080105000129,PL-2-4,0,備品積立金取崩額
kyoten4,instance,L-8080105000129-0107,備品積立金取崩額,備品積立金取崩額,LC-00107,差額,PL,8080105000129,PL-2-4,0,備品積立金取崩額
kyoten4,concept,LC-00108,施設整備積立金取崩額,施設整備積立金取崩額,PL-K-AT,差額,PL,8080105000129,PL-2-4,0,施設整備積立金取崩額
kyoten4,instance,L-8080105000129-0108,施設整備積立金取崩額,施設整備積立金取崩額,LC-00108,差額,PL,8080105000129,PL-2-4,0,施設整備積立金取崩額
kyoten4,concept,LC-00109,修繕積立金積立額,修繕積立金積立額,PL-K-AA,差額,PL,8080105000129,PL-2-4,0,修繕積立金積立額
kyoten4,instance,L-8080105000129-0109,修繕積立金積立額,修繕積立金積立額,LC-00109,差額,PL,8080105000129,PL-2-4,0,修繕積立金積立額
kyoten4,concept,LC-00110,就労設備等積立金積立額,就労設備等積立金積立額,PL-K-AA,差額,PL,8080105000129,PL-2-4,0,就労設備等積立金積立額
kyoten4,instance,L-8080105000129-0110,就労設備等積立金積立額,就労設備等積立金積立額,LC-00110,差額,PL,8080105000129,PL-2-4,0,就労設備等積立金積立額
kyoten4,concept,LC-00111,車輛購入積立金積立額,車輛購入積立金積立額,PL-K-AA,差額,PL,8080105000129,PL-2-4,0,車輛購入積立金積立額
kyoten4,instance,L-8080105000129-0111,車輛購入積立金積立額,車輛購入積立金積立額,LC-00111,差額,PL,8080105000129,PL-2-4,0,車輛購入積立金積立額
